path_idx,path_hops,relation_seq,weight_mean,weight_std,weight_min,weight_max
16,2,drug_protein | disease_protein,0.01422649264956514,0.0032176871946508075,0.01032998226583004,0.018941204994916916
16,2,drug_protein | drug_protein,0.010806205682456493,0.0012385272903411321,0.009930434636771679,0.011681976728141308
16,2,drug_protein | protein_protein,0.020778140518814325,0.007468207529165328,0.015497320331633091,0.02605896070599556
16,2,indication | contraindication,0.025301648303866386,,0.025301648303866386,0.025301648303866386
17,1,contraindication,0.023353472465856208,0.014626864771134881,0.006015004590153694,0.07689928263425827
17,1,drug_drug,0.014918343005020445,0.001127568653813619,0.011866474524140358,0.017010847106575966
17,1,off-label use,0.010320479050278664,,0.010320479050278664,0.010320479050278664
17,2,contraindication | contraindication,0.014734041877090931,0.0015356339605174104,0.012962184846401215,0.01567966677248478
17,2,drug_drug | drug_drug,0.015670948103070258,0.00022598632509405298,0.015350742265582085,0.015933623537421227
17,2,drug_protein | disease_protein,0.014407841643939415,0.0035331893756642085,0.010840264149010181,0.020560024306178093
17,2,drug_protein | drug_protein,0.010678024962544441,0.0007817766246725096,0.01012522540986538,0.011230824515223503
17,2,drug_protein | protein_protein,0.02245061844587326,0.007470679046703788,0.01716805063188076,0.02773318625986576
17,2,indication | contraindication,0.02502293325960636,,0.02502293325960636,0.02502293325960636
18,1,contraindication,0.01763068563822243,0.008738186730314235,0.006217594258487225,0.062091417610645294
18,1,drug_drug,0.014947901896344937,0.001199527437743955,0.01171927060931921,0.017292847856879234
18,1,off-label use,0.009097710251808167,,0.009097710251808167,0.009097710251808167
18,2,contraindication | contraindication,0.01416160042087237,0.0018172493199097195,0.012216120027005672,0.015815313905477524
18,2,drug_drug | drug_drug,0.015442117862403393,0.00035196171907146245,0.014919719658792019,0.01586887426674366
18,2,drug_protein | disease_protein,0.014903155388310552,0.0029800664034576063,0.012827732600271702,0.019322019070386887
18,2,drug_protein | drug_protein,0.012226650258526206,0.002164559544174569,0.010152967646718025,0.015272500924766064
18,2,drug_protein | protein_protein,0.022863796912133694,0.0012338687464916623,0.021991319954395294,0.023736273869872093
18,2,indication | contraindication,0.025098882615566254,,0.025098882615566254,0.025098882615566254
19,1,contraindication,0.0168189402646953,0.010124065004035607,0.0058431983925402164,0.06874937564134598
19,1,drug_drug,0.014923600003299281,0.0012961349163137603,0.011491778306663036,0.017383070662617683
19,1,off-label use,0.013876989483833313,,0.013876989483833313,0.013876989483833313
19,2,contraindication | contraindication,0.014591516306002935,0.002416074235707108,0.012217679992318153,0.01704772189259529
19,2,drug_drug | drug_drug,0.015566475875675678,0.0003535030827136461,0.015222419984638691,0.01601208560168743
19,2,drug_protein | disease_protein,0.013801336754113436,0.0029400479728092627,0.0100370142608881,0.01673112064599991
19,2,drug_protein | drug_protein,0.013628007844090462,0.0023456736342506957,0.011969366110861301,0.015286649577319622
19,2,drug_protein | protein_protein,0.024418389424681664,0.011805846046752163,0.014876505360007286,0.04162045195698738
19,2,indication | contraindication,0.024938875809311867,,0.024938875809311867,0.024938875809311867
20,1,contraindication,0.019500867259211657,0.014405814758327303,0.006325673311948776,0.06777898222208023
20,1,drug_drug,0.014834305899779476,0.0012363350218904047,0.011601526290178299,0.017294980585575104
20,1,off-label use,0.014067307114601135,,0.014067307114601135,0.014067307114601135
20,2,contraindication | contraindication,0.014357599740227064,0.0018943352691916987,0.012216616421937943,0.015816226601600647
20,2,drug_drug | drug_drug,0.015368428857376179,0.0003881439429307136,0.015030333772301674,0.01600067690014839
20,2,drug_protein | disease_protein,0.015660837665200232,0.003918730649316246,0.010278134606778622,0.02131650224328041
20,2,drug_protein | drug_protein,0.013536994345486164,0.0024818382479882507,0.011782069690525532,0.015291919000446796
